date,open,high,low,close,adj_close,volume
2019-01-01,2316.22509765625,2329.300048828125,2290.5,2319.510009765625,2110.186767578125,444340
2019-01-02,2234.0,2234.0,2095.02490234375,2116.22998046875,1925.251708984375,4814970
2019-01-03,2104.0,2104.0,2015.0999755859375,2021.14501953125,1838.74755859375,4683010
2019-01-04,2032.5,2064.804931640625,2000.0999755859375,2010.3599853515625,1828.9356689453125,3418330
2019-01-07,2045.0,2047.699951171875,1975.5,1983.0400390625,1804.081298828125,2156680
2019-01-08,1985.5,2063.0,1978.5,2004.4649658203125,1823.57275390625,3664290
2019-01-09,1989.0,2039.7750244140625,1985.0,2029.10498046875,1845.9892578125,1637520
2019-01-10,2036.0,2060.0,2034.5050048828125,2055.610107421875,1870.102294921875,1021430
2019-01-11,2060.0,2076.72998046875,2038.699951171875,2050.760009765625,1865.6900634765625,1122200
2019-01-14,2062.800048828125,2062.919921875,2022.199951171875,2048.0400390625,1863.2154541015625,701210
2019-01-15,2054.0,2067.0,2048.0,2063.81494140625,1877.566650390625,633190
2019-01-16,2062.60009765625,2078.39501953125,2062.60009765625,2073.570068359375,1886.4415283203125,674680
2019-01-17,2080.0,2084.77490234375,2016.0450439453125,2036.9949951171875,1853.1671142578125,1037770
2019-01-18,2040.0,2042.5,1995.0,2012.2750244140625,1830.6781005859375,1081400
2019-01-21,2015.0999755859375,2029.7950439453125,1994.9749755859375,2002.800048828125,1822.05810546875,950380
2019-01-22,2000.0999755859375,2035.0,1990.0,2002.3599853515625,1821.65771484375,1378300
2019-01-23,2007.699951171875,2022.300048828125,1999.0999755859375,2008.9150390625,1827.62109375,535950
2019-01-24,2015.0,2033.0,2007.5,2011.56005859375,1830.027587890625,457230
2019-01-25,2020.0,2033.7750244140625,1983.510009765625,2004.9949951171875,1824.054931640625,671890
2019-01-28,2006.0999755859375,2024.0999755859375,1987.1600341796875,1998.739990234375,1818.3643798828125,1019070
2019-01-29,1999.9000244140625,2000.0,1880.0,1887.7249755859375,1717.367919921875,1931980
2019-01-30,1890.0,1909.489990234375,1880.0,1891.9150390625,1721.179931640625,1026320
2019-01-31,1912.0,1917.89501953125,1883.6099853515625,1900.574951171875,1729.058349609375,675110
2019-02-01,1909.0,2014.469970703125,1907.60498046875,1966.3399658203125,1788.888427734375,1857170
2019-02-04,1972.0,2043.1949462890625,1943.5,2012.8299560546875,1831.182861328125,1621290
2019-02-05,2016.0999755859375,2058.489990234375,2016.0,2047.9649658203125,1863.1470947265625,1018700
2019-02-06,2052.965087890625,2120.0,2052.965087890625,2110.425048828125,1919.970458984375,1297160
2019-02-07,2123.489990234375,2196.5,2115.070068359375,2190.419921875,1992.746337890625,1352940
2019-02-08,2185.5,2190.419921875,2075.0,2084.739990234375,1896.6033935546875,1234030
2019-02-11,2043.4000244140625,2145.955078125,2033.0999755859375,2075.31494140625,1888.0289306640625,2619820
2019-02-12,2047.0,2130.0,2007.0,2113.75,1922.9954833984375,2590360
2019-02-14,2016.0,2058.81005859375,1990.0,2001.6400146484375,1821.0028076171875,1403410
2019-02-15,2014.72998046875,2037.719970703125,1993.2049560546875,2023.4100341796875,1840.80810546875,1235950
2019-02-18,2043.300048828125,2045.0,2004.77001953125,2015.52001953125,1833.6302490234375,850970
2019-02-19,2020.0,2046.4549560546875,2012.0999755859375,2040.97998046875,1856.79248046875,654740
2019-02-20,2041.5,2065.0,2038.0,2052.85498046875,1867.5958251953125,698580
2019-02-21,2045.0,2063.469970703125,2025.0,2044.7449951171875,1860.2177734375,670210
2019-02-22,2057.699951171875,2070.0,2030.0,2059.544921875,1873.68212890625,740010
2019-02-25,2069.989990234375,2078.094970703125,2050.0,2070.47998046875,1883.6302490234375,462600
2019-02-26,2067.0,2087.4951171875,2040.010009765625,2062.0,1875.91552734375,878770
2019-02-27,2078.0849609375,2078.0849609375,2030.2049560546875,2040.7750244140625,1856.60595703125,624010
2019-02-28,2064.89990234375,2064.89990234375,1980.0,1986.9100341796875,1807.6021728515625,1870270
2019-03-01,1990.4000244140625,2003.1949462890625,1972.0,1994.864990234375,1814.839111328125,984330
2019-03-05,1950.0,2187.699951171875,1932.0,2150.5400390625,1956.46533203125,4523630
2019-03-06,2151.0,2180.0,2140.5,2150.39501953125,1956.33349609375,1265860
2019-03-07,2154.89990234375,2170.0,2141.125,2152.14990234375,1957.9300537109375,831150
2019-03-08,2152.0,2209.344970703125,2140.0048828125,2187.10498046875,1989.73046875,1957920
2019-03-11,2194.85498046875,2314.52001953125,2189.5,2297.2451171875,2089.93115234375,2485590
2019-03-12,2300.10009765625,2335.5,2227.2900390625,2246.195068359375,2043.4881591796875,1992480
2019-03-13,2248.8798828125,2289.800048828125,2246.199951171875,2277.72509765625,2072.1728515625,1461680
2019-03-14,2280.0,2298.695068359375,2250.10009765625,2261.989990234375,2057.857666015625,968750
2019-03-15,2283.800048828125,2283.800048828125,2242.60009765625,2261.235107421875,2057.1708984375,981900
2019-03-18,2260.0,2279.989990234375,2210.199951171875,2225.139892578125,2024.3330078125,993140
2019-03-19,2224.0,2224.0,2157.955078125,2175.909912109375,1979.545654296875,2011750
2019-03-20,2166.0,2185.0,2119.0,2133.800048828125,1941.236083984375,1371030
2019-03-22,2133.800048828125,2167.4599609375,2127.5,2144.68505859375,1951.1387939453125,2168820
2019-03-25,2139.0,2139.0,2105.094970703125,2115.135009765625,1924.25537109375,994230
2019-03-26,2127.5,2144.419921875,2100.5,2138.199951171875,1945.239013671875,1098830
2019-03-27,2140.10009765625,2148.5,2085.56494140625,2097.4150390625,1908.1346435546875,1175880
2019-03-28,2102.39990234375,2130.0,2078.10498046875,2089.89990234375,1901.297607421875,1255610
